Timestamp,Document Number,Vendor Name,Bill Reference,Status,Message,Row Number
2025-05-08 16:13:31,CIV-000348,,,Success,Successfully processed and updated debit account,6
2025-05-08 16:13:32,CIV-000363,,,Success,Successfully processed and updated debit account,9
2025-05-08 16:13:34,CIV-000366,,,Success,Successfully processed and updated debit account,10
2025-05-08 16:13:35,CIV-000373,,,Success,Successfully processed and updated debit account,11
2025-05-08 16:13:36,CIV-000383,,,Success,Successfully processed and updated debit account,12
2025-05-08 16:13:38,CIV-000385,,,Success,Successfully processed and updated debit account,13
2025-05-08 16:13:39,CIV-000400,,,Success,Successfully processed and updated debit account,14
2025-05-08 16:13:39,CIV-000402,,,Success,Successfully processed and updated debit account,15
2025-05-08 16:13:40,CIV-000403,,,Success,Successfully processed and updated debit account,16
2025-05-08 16:13:41,CIV-000404,,,Success,Successfully processed and updated debit account,17
2025-05-08 16:13:42,CIV-000535,,,Success,Successfully processed and updated debit account,25
2025-05-08 16:13:44,CIV-000576,,,Success,Successfully processed and updated debit account,27
2025-05-08 16:13:45,CIV-000586,,,Success,Successfully processed and updated debit account,28
2025-05-08 16:13:46,CIV-000608,,,Success,Successfully processed and updated debit account,29
2025-05-08 16:13:47,CIV-000609,,,Success,Successfully processed and updated debit account,30
2025-05-08 16:13:49,CIV-000610,,,Success,Successfully processed and updated debit account,31
2025-05-08 16:13:50,CIV-000615,,,Success,Successfully processed and updated debit account,32
2025-05-08 16:13:51,CIV-000616,,,Success,Successfully processed and updated debit account,33
2025-05-08 16:13:52,CIV-000648,,,Success,Successfully processed and updated debit account,38
2025-05-08 16:13:54,CIV-000669,,,Success,Successfully processed and updated debit account,39
2025-05-08 16:13:55,CIV-000699,,,Success,Successfully processed and updated debit account,43
2025-05-08 16:13:56,CIV-00271,,,Success,Successfully processed and updated debit account,2
2025-05-08 16:13:57,CN23040001,,,Success,Invoice created but debit account update failed,40
2025-05-08 16:13:58,CRP1600183,,,Success,Invoice created but debit account update failed,3
2025-05-08 16:14:00,CRP1600267,,,Success,Invoice created but debit account update failed,4
2025-05-08 16:14:01,CRP1700172,,,Success,Invoice created but debit account update failed,5
2025-05-08 16:14:02,CRP1700316,,,Success,Invoice created but debit account update failed,7
2025-05-08 16:14:03,CRP1800132,,,Success,Invoice created but debit account update failed,18
2025-05-08 16:14:04,CRP1800133,,,Success,Invoice created but debit account update failed,19
2025-05-08 16:14:06,CRP1800165,,,Success,Invoice created but debit account update failed,20
2025-05-08 16:14:07,CRP1800319,,,Success,Invoice created but debit account update failed,21
2025-05-08 16:14:08,CRP1900031,,,Success,Invoice created but debit account update failed,22
2025-05-08 16:14:09,CRP1900217,,,Success,Invoice created but debit account update failed,23
2025-05-08 16:14:10,CRP1900268,,,Success,Invoice created but debit account update failed,24
2025-05-08 16:14:11,CRP2000089,,,Success,Invoice created but debit account update failed,26
2025-05-08 16:14:12,CRP2100355,,,Success,Invoice created but debit account update failed,34
2025-05-08 16:14:14,CRP2100367,,,Success,Invoice created but debit account update failed,35
2025-05-08 16:14:15,CRP2200213,,,Success,Invoice created but debit account update failed,37
2025-05-08 16:14:16,CRP2200214,,,Success,Invoice created but debit account update failed,36
2025-05-08 16:14:17,CRP2300195,,,Success,Invoice created but debit account update failed,41
2025-05-08 16:14:19,CRP2400021,,,Success,Invoice created but debit account update failed,44
2025-05-08 16:14:20,CRP2400243,,,Success,Invoice created but debit account update failed,47
2025-05-08 16:14:21,CRP2400297,,,Success,Invoice created but debit account update failed,46
2025-05-08 16:14:22,CRP2400298,,,Success,Invoice created but debit account update failed,45
2025-05-08 16:14:23,CRP2400404,,,Success,Invoice created but debit account update failed,50
2025-05-08 16:14:24,CRP2400405,,,Success,Invoice created but debit account update failed,51
2025-05-08 16:14:25,IV-2413218,,,Success,Successfully processed and updated debit account,48
2025-05-08 16:14:26,IV-2413219,,,Success,Successfully processed and updated debit account,49
2025-05-08 16:14:27,RV00000194,,,Success,Successfully processed and updated debit account,8
2025-05-08 16:14:28,SMJV6612041,,,Success,Successfully processed and updated debit account,42
