2025-11-22 13:52:36,209 - INFO - Log file created: Varify_partner/logs/partner_verify_20251122_135236.log
2025-11-22 13:52:38,405 - INFO - Successfully connected to Odoo as user ID: 2
2025-11-22 13:52:38,521 - INFO - Starting verification from index 0
2025-11-22 13:52:38,521 - INFO - Total records to process: 435
2025-11-22 13:52:38,521 - INFO - Processing batch 0-100 of 435
2025-11-22 13:52:38,785 - INFO - Partner found by old_code_partner: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:38,786 - INFO - Partner found: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:39,130 - INFO - Partner found by old_code_partner: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:39,130 - INFO - Partner found: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:39,444 - INFO - Partner found by old_code_partner: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:39,444 - INFO - Partner found: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:39,687 - INFO - Partner found by old_code_partner: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:39,688 - INFO - Partner found: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:39,935 - INFO - Partner found by old_code_partner: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:39,935 - INFO - Partner found: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:40,171 - INFO - Partner found by old_code_partner: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:40,171 - INFO - Partner found: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:40,417 - INFO - Partner found by old_code_partner: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:40,417 - INFO - Partner found: I001 - ID: 1566, Name: บริษัท ไอดอล ซิสเท่ม จำกัด
2025-11-22 13:52:40,643 - INFO - Partner found by old_code_partner: VEN6600047 - ID: 1733, Name: บริษัท รักษาความปลอดภัย ซีเคอาร์ การ์ด จำกัด
2025-11-22 13:52:40,643 - INFO - Partner found: VEN6600047 - ID: 1733, Name: บริษัท รักษาความปลอดภัย ซีเคอาร์ การ์ด จำกัด
2025-11-22 13:52:40,906 - INFO - Partner found by old_code_partner: REL001 - ID: 964, Name: บริษัท ทรู มูฟ เอช ยูนิเวอร์แซล คอมมิวนิเคชั่น จำกัด
2025-11-22 13:52:40,906 - INFO - Partner found: REL001 - ID: 964, Name: บริษัท ทรู มูฟ เอช ยูนิเวอร์แซล คอมมิวนิเคชั่น จำกัด
2025-11-22 13:52:41,129 - INFO - Partner found by old_code_partner: ANOTHER - ID: 3683, Name: เจ้าหนี้การค้าอื่น
2025-11-22 13:52:41,129 - INFO - Partner found: ANOTHER - ID: 3683, Name: เจ้าหนี้การค้าอื่น
2025-11-22 13:52:41,360 - INFO - Partner found by old_code_partner: REL001 - ID: 964, Name: บริษัท ทรู มูฟ เอช ยูนิเวอร์แซล คอมมิวนิเคชั่น จำกัด
2025-11-22 13:52:41,360 - INFO - Partner found: REL001 - ID: 964, Name: บริษัท ทรู มูฟ เอช ยูนิเวอร์แซล คอมมิวนิเคชั่น จำกัด
2025-11-22 13:52:41,598 - INFO - Partner found by old_code_partner: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:52:41,598 - INFO - Partner found: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:52:41,884 - INFO - Partner not found in old_code_partner, searching in partner_code field: KBS001
